,Code,COVID_Death_Rate,Vaccine_Rate
0,AK,13.751044277360066,62.93816511629496
1,AL,14.4337582941922,56.63174038915522
2,AR,13.31246870305458,60.59505521233321
3,AZ,17.00412721534353,64.41074711381141
4,CA,14.407163127155695,78.92781937376695
5,CO,12.580467169394888,71.59230775642432
6,CT,9.109429569266588,84.22427142611521
7,DC,9.827319949459497,81.75753702803688
8,DE,11.235555555555555,73.0858811786018
9,FL,14.634524602069842,71.8769160829188
10,GA,15.41955191658231,58.9317577344333
11,HI,5.653627809316432,0.0
12,IA,10.371681415929205,62.69312566757631
13,ID,15.153330791437442,50.80330038358986
14,IL,9.712825263436502,69.57196601814373
15,IN,12.69290660724911,55.74664163480124
16,KS,12.22594789785917,66.33720223772653
17,KY,14.406256774559342,60.32500588113767
18,LA,12.107433647033943,55.673019712209225
19,MA,8.676806559634462,85.92611421424118
20,MD,10.588235294117647,77.0626133040452
21,ME,8.347450201530464,82.10259988751774
22,MI,12.817988705248432,61.313694588798064
23,MN,10.05405616376871,69.1281984356426
24,MO,11.66574592902428,59.825793475703506
25,MS,14.66616841056303,54.04638679044631
26,MT,14.18839558374442,59.87913299113568
27,NC,13.725326661106477,70.4104963308837
28,ND,11.346282652377763,58.06102390619136
29,NE,10.139071109944895,54.71932498211339
30,NH,8.618449545257688,87.89551603245101
31,NJ,11.47891725563729,75.53332004832141
32,NM,14.716715639614286,76.7279544493137
33,NV,16.60818023650143,66.5298121263988
34,NY,12.719815962020627,78.40640076127966
35,OH,13.847114816650485,58.453379644283984
36,OK,15.835447181081744,62.92823475329994
37,OR,9.238585466942977,71.53682176010501
38,PA,13.189844052068567,81.82965943807639
39,RI,10.358911966629009,83.3789425889758
40,SC,14.718600953895072,60.34617576350133
41,SD,10.519023766386017,67.15819315691131
42,TN,14.323135835717892,56.932756435844226
43,TX,17.95444807257576,64.18091935195899
44,UT,11.31318306010929,64.85181652410917
45,VA,11.18840579710145,75.67492966742854
46,VT,4.69630557294928,85.54477723164992
47,WA,8.929639517411411,73.02176143512456
48,WI,9.951927825886536,65.9032116121883
49,WV,14.417696323280879,53.93268520941642
50,WY,16.020801878879382,53.7539804996553
