,Code,COVID_Death_Rate,Vaccine_Rate,GDP per capita,Resident Population Density
0,AK,13.751044277360066,62.93816511629496,63610,13
1,AL,14.4337582941922,56.63174038915522,37508,992
2,AR,13.31246870305458,60.59505521233321,36714,579
3,AZ,17.00412721534353,64.41074711381141,39583,629
4,CA,14.407163127155696,78.92781937376695,60359,2537
5,CO,12.580467169394888,71.59230775642432,54026,557
6,CT,9.109429569266588,84.22427142611521,62633,7447
7,DC,9.827319949459495,81.75753702803688,159607,1128000
8,DE,11.235555555555557,73.0858811786018,63955,508
9,FL,14.634524602069842,71.8769160829188,39842,4014
10,GA,15.41955191658231,58.9317577344333,45925,1856
11,HI,5.653627809316432,0.0,52869,2266
12,IA,10.371681415929205,62.69312566757631,52284,571
13,ID,15.153330791437442,50.80330038358986,36441,223
14,IL,9.712825263436502,69.57196601814373,55102,2308
15,IN,12.69290660724911,55.74664163480124,46427,1894
16,KS,12.22594789785917,66.33720223772653,47435,359
17,KY,14.406256774559342,60.32500588113767,39277,1141
18,LA,12.107433647033943,55.673019712209225,44372,1078
19,MA,8.676806559634462,85.92611421424118,66500,9012
20,MD,10.588235294117649,77.0626133040452,56375,6361
21,ME,8.347450201530464,82.10259988751774,39521,442
22,MI,12.817988705248432,61.313694588798064,44201,178
23,MN,10.05405616376871,69.1281984356426,54805,717
24,MO,11.66574592902428,59.82579347570351,43036,895
25,MS,14.66616841056303,54.04638679044631,32447,631
26,MT,14.18839558374442,59.87913299113568,39833,74
27,NC,13.725326661106475,70.4104963308837,44706,2147
28,ND,11.346282652377765,58.06102390619136,64911,113
29,NE,10.139071109944895,54.71932498211339,54654,255
30,NH,8.618449545257688,87.89551603245101,52509,1538
31,NJ,11.47891725563729,75.53332004832141,56776,126300
32,NM,14.716715639614286,76.7279544493137,41619,175
33,NV,16.60818023650143,66.5298121263988,44812,283
34,NY,12.719815962020627,78.40640076127966,65220,4287
35,OH,13.847114816650484,58.453379644283984,48188,2888
36,OK,15.835447181081744,62.92823475329994,44535,577
37,OR,9.238585466942975,71.53682176010501,51312,441
38,PA,13.189844052068567,81.82965943807639,51841,2906
39,RI,10.358911966629009,83.3789425889758,48314,106140
40,SC,14.718600953895072,60.34617576350133,37637,1702
41,SD,10.519023766386017,67.15819315691131,48004,117
42,TN,14.323135835717892,56.93275643584423,44348,1676
43,TX,17.95444807257576,64.18091935195899,53737,1116
44,UT,11.31318306010929,64.85181652410917,45493,397
45,VA,11.18840579710145,75.67492966742854,52124,2186
46,VT,4.69630557294928,85.54477723164992,44831,698
47,WA,8.929639517411411,73.02176143512456,59333,1159
48,WI,9.951927825886536,65.9032116121883,48666,1088
49,WV,14.41769632328088,53.93268520941642,37353,746
50,WY,16.020801878879382,53.7539804996553,61091,59
